SEQN,SDDSRVYR,RIDSTATR,RIDEXMON,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDAGEEX,RIDRETH1,DMQMILIT,DMDBORN2,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDSCHOL,DMDMARTL,DMDHHSIZ,DMDFMSIZ,INDHHIN2,INDFMIN2,INDFMPIR,RIDEXPRG,DMDHRGND,DMDHRAGE,DMDHRBR2,DMDHREDU,DMDHRMAR,DMDHSEDU,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANG,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA
56604,6,2,2,2,18,218,220,3,2,1,1,0,13,0,3,0,2,2,12,12,0,0,2,46,0,0,3,0,1,2,2,1,2,2,1,2,2,1,52837,54449,1,76
56605,6,2,1,1,8,103,104,2,0,1,1,0,2,0,1,0,4,4,3,3,0,0,2,47,1,2,6,0,1,1,2,1,2,2,1,2,2,0,10023,10209,2,85
56606,6,2,2,2,66,802,803,3,2,1,1,0,0,4,0,2,1,1,6,6,2,0,2,66,1,4,2,0,1,2,2,1,2,2,0,0,0,0,62085,62173,2,80
56607,6,2,2,2,29,355,356,3,2,1,1,0,0,4,0,1,3,3,8,8,2,2,1,31,1,4,1,4,1,2,2,1,2,2,1,2,2,1,72672,74043,2,79
56608,6,2,2,2,36,442,443,3,2,1,1,0,0,4,0,1,3,3,9,9,3,2,2,36,1,4,1,0,1,2,2,1,2,2,1,2,2,1,62144,64508,1,77
56609,6,2,2,2,64,777,778,3,2,1,1,0,0,2,0,1,2,2,7,7,2,0,1,70,1,3,1,2,1,2,2,1,2,2,1,2,2,1,65849,66402,2,76
56610,6,2,1,2,54,655,655,1,2,2,2,7,0,1,0,1,2,2,10,10,5,0,2,54,2,1,1,1,2,2,2,2,2,2,2,2,2,0,18907,18999,1,75
56611,6,2,1,1,0,2,3,1,0,1,1,0,0,0,0,0,4,4,7,7,1,0,1,28,2,4,1,4,2,1,2,2,2,2,0,0,0,0,6693,6825,2,87
56612,6,2,1,1,19,239,239,3,2,1,1,0,13,0,3,0,5,5,15,15,5,0,1,53,1,4,1,5,1,2,2,1,2,2,1,2,2,1,43536,47972,2,86
56613,6,2,1,1,41,498,499,3,2,1,1,0,0,2,0,4,7,7,12,12,0,0,2,68,1,3,1,3,1,2,2,1,2,2,1,2,2,1,17811,17679,2,83
56614,6,2,1,1,28,337,338,2,2,1,1,0,0,4,0,5,4,1,6,2,0,0,1,50,1,1,5,0,1,2,2,1,2,2,0,0,0,0,23193,23291,1,84
56615,6,2,2,2,45,551,552,4,2,1,1,0,0,3,0,6,1,1,5,5,1,0,2,45,1,3,6,0,1,2,2,1,2,2,1,2,2,1,25579,27466,1,78
56616,6,2,1,2,75,908,908,1,2,2,1,6,0,1,0,4,1,1,2,2,0,0,2,75,2,1,4,0,2,2,2,2,2,2,2,2,2,0,9899,11077,2,85
56617,6,2,2,1,41,497,498,1,2,2,2,2,0,1,0,6,6,6,4,4,0,0,2,32,2,1,6,0,2,2,2,1,2,2,1,2,2,2,19452,19708,2,75
56618,6,2,2,1,42,506,508,4,2,1,1,0,0,4,0,1,4,4,9,9,2,0,2,41,1,4,1,4,1,2,2,1,2,2,1,2,2,1,24849,24714,1,77
56619,6,2,2,1,40,484,484,5,2,1,1,0,0,5,0,99,2,2,15,15,5,0,2,40,5,5,1,5,1,2,2,1,2,2,1,2,2,1,21177,21137,1,78
56620,6,1,0,2,73,885,0,3,2,1,1,0,0,4,0,2,1,1,5,5,2,0,2,73,1,4,2,0,1,2,2,1,2,2,0,0,0,0,33211,0,1,85
56621,6,2,1,2,12,155,157,2,0,4,2,2,5,0,1,0,7,7,5,5,0,0,2,36,4,1,1,1,2,1,2,2,2,2,1,2,2,1,12154,12045,2,87
56622,6,2,1,2,28,345,346,1,2,1,1,0,0,3,0,6,6,6,99,99,0,2,1,30,1,1,6,0,1,2,2,1,2,2,1,2,2,1,19336,19738,2,86
56623,6,2,1,2,56,676,677,1,2,1,1,0,0,4,0,1,2,2,14,14,5,0,2,56,1,4,1,4,1,2,2,1,2,2,1,2,2,1,11014,11755,1,85
56624,6,2,1,1,34,418,418,1,2,2,2,4,0,1,0,1,4,4,2,2,0,0,2,39,1,3,1,1,2,2,2,1,2,2,1,2,2,0,36078,38399,2,75
56625,6,2,2,2,41,492,494,2,2,4,2,2,0,1,0,4,4,1,14,6,2,2,1,37,2,1,6,0,2,2,2,1,2,2,1,2,2,2,20951,21594,2,77
56626,6,2,1,1,37,447,448,3,2,1,1,0,0,3,0,1,7,7,6,6,0,0,1,37,1,3,1,4,1,2,2,1,2,2,1,2,2,1,11581,11532,3,86
56627,6,2,1,2,80,0,0,3,2,1,1,0,0,2,0,1,2,2,5,5,1,0,2,80,1,2,1,1,1,2,2,1,2,2,1,2,2,0,35673,38178,1,82
