cat,var,count,uniq_count
Wine,3,350,228
Wine,4,110,89
Wine,6,80,62
Wine,7,15,11
Yeast breads,1,377,259
Yeast breads,2,465,299
Yeast breads,3,2220,1213
Yeast breads,4,1283,787
Yeast breads,6,620,364
Yeast breads,7,166,95
"Yogurt, lowfat and nonfat",1,50,41
"Yogurt, lowfat and nonfat",2,81,57
"Yogurt, lowfat and nonfat",3,311,224
"Yogurt, lowfat and nonfat",4,112,82
"Yogurt, lowfat and nonfat",6,113,79
"Yogurt, lowfat and nonfat",7,17,13
"Yogurt, whole and reduced fat",1,14,13
"Yogurt, whole and reduced fat",2,13,10
"Yogurt, whole and reduced fat",3,32,29
"Yogurt, whole and reduced fat",4,13,12
"Yogurt, whole and reduced fat",6,49,35
"Yogurt, whole and reduced fat",7,2,1
~ALL~,1,14307,509
~ALL~,2,14412,499
~ALL~,3,58565,1905
~ALL~,4,36827,1366
~ALL~,6,19091,639
~ALL~,7,4426,158
